"id","name","type","firm","stage","thesis_fit","anchor_portfolio","source_url","contact_channel","contact_status","location","confidence"
"021","EQT Ventures","VC","EQT Ventures","seed","Led Superlist's €10M seed to reinvent the prosumer productivity/task tool — same prosumer-tool lane as Verba","Superlist","https://medium.com/eqtventures/after-200-todos-and-reminders-its-finally-here-the-eqt-ventures-superlist-10m-series-seed-2307bc51d5c9","warm intro","à vérifier","Stockholm / Berlin","0.93"
"022","Founderful","micro-VC","Founderful","pre-seed","Switzerland's leading pre-seed fund — backs technical first-money products","EthonAI (industrial AI; raised follow-on from Index Ventures)","https://www.vestbee.com/insights/articles/founderful-closes-140-m-fund-ii","warm intro (founderful.com)","à vérifier","Zurich, Switzerland","0.93"
"023","Lachy Groom","angel","solo GP (ex-Stripe) / personal angel","seed","Explicitly invests in tools users/developers love spontaneously (bottom-up) — Verba's exact adoption model","Notion / Figma (also Ramp, Lattice)","https://www.hustlefund.vc/post/lachy-groom-investments-how-stripes-former-executive-became-one-of-the-best-angel-investors-in-tech","warm intro (Stripe / solo-GP network)","à vérifier","San Francisco, USA","0.93"
"024","Nathan Benaich / Air Street Capital","micro-VC","Air Street Capital","seed","AI-first solo-GP fund; products that wouldn't exist without AI, incl. creator/voice","Synthesia (AI video/voice creator platform)","https://press.airstreet.com/p/fund-iii","Warm intro / via airstreet.com (no public form)","à vérifier","London, UK / San Francisco, CA","0.93"
"025","Project A Ventures","VC","Project A Ventures","pre-seed / seed","Active Berlin early-stage AI investor with embedded operational support — fits AI productivity","Mindfuel (led €3.75m seed, AI data-product mgmt; also Trade Republic)","https://www.vestbee.com/insights/articles/project-a-raises-325-m-fund","warm intro (project-a.vc)","à vérifier","Berlin, Germany","0.93"
"026","Speedinvest","VC","Speedinvest","pre-seed / seed","Large European seed team with a dedicated B2B AI/SaaS vertical and consumer-app track record","Bitpanda (consumer-app unicorn); dedicated B2B AI & Infra vertical","https://www.speedinvest.com/knowledge/speedinvest-raises-500-million-for-european-tech-startups","https://www.speedinvest.com/pitch-us","verified","Vienna, Austria","0.93"
"027","Akshay Kothari","angel","Notion (co-founder/COO) / personal angel","pre-seed","Operator-angel in prosumer productivity software exactly like Verba; first angel check was Notion itself","Notion (confirmed first angel check) / Chroma / Pocus","https://yesterdayy.substack.com/p/akshay-kothari-90m-acquisition-to","warm intro (Notion network / LinkedIn @akothari)","à vérifier","San Francisco, USA","0.92"
"028","Amjad Masad","angel","Replit (founder/CEO) / personal angel","seed","Dev-tools + AI-agent founder-angel; backed the AI workspace Granola alongside Verba's exact peer set","Granola","https://techcrunch.com/2025/05/14/ai-note-taking-app-granola-raises-43m-at-250m-valuation-launches-collaborative-features/","warm intro (Replit network)","à vérifier","San Francisco, USA","0.92"
"029","Boost VC","accelerator","Boost VC (Adam Draper)","pre-seed","First-check pre-seed deep-tech fund ($500K rounds, $87M Fund IV 2025); Deepgram (voice AI, $1.3B) is a confirmed portfolio company — earliest-stage voice/AI bet matches Verba","Deepgram","https://www.boost.vc/","https://www.boost.vc (open accelerator application)","verified","San Mateo, CA","0.92"
"030","Concept Ventures","VC","Concept Ventures","pre-seed","Europe's largest dedicated pre-seed fund ($88M Fund II); ElevenLabs was its first Fund I investment (2022) — voice-AI / prosumer creator lane directly matches Verba","ElevenLabs","https://concept.vc/news/elevenlabs-reaches-unicorn-following-80m-raise","warm intro / concept.vc","à vérifier","London, UK","0.92"
"031","Frst","VC","Frst","seed","French AI-leaning seed fund — fits an EU-founded AI productivity tool","Pigment (seed 2019 + Series A; also PayFit, Owkin)","https://sifted.eu/articles/frst-raises-72m-third-fund-news","pierre@frst.vc","verified","Paris, France","0.92"
"032","Hustle Fund","micro-VC","Hustle Fund","pre-seed","Writes fast $100-150K pre-seed checks into bottom-up software; backs prosumer/creator tools with PLG motions like Verba.","Webflow (prosumer / creator no-code website builder)","https://www.vcsheet.com/fund/hustle-fund","https://hustlefund.typeform.com/to/UGTnIt","verified","San Francisco Bay Area, CA","0.92"
"033","Kfund","VC","Kfund","seed","Southern-Europe seed fund backing SaaS/prosumer software toward EUR revenue","Factorial (HR SaaS unicorn; also Hubtype)","https://www.vestbee.com/insights/articles/kfund-raises-a-70-m-fund","warm intro (kfund.vc)","à vérifier","Madrid, Spain","0.92"
"034","Pace Capital","VC","Pace Capital","early","Led The Browser Company's (Arc) $50M round — a Mac-first consumer software reimagining; thesis on purpose-built apps fits a voice agent across 1,000+ apps","The Browser Company (Arc)","https://techcrunch.com/2024/03/21/the-browser-company-raises-50-million-at-550-million-valuation/","warm intro","à vérifier","New York, NY","0.92"
"035","Rahul Vohra","micro-VC","Todd & Rahul's Angel Fund (Superhuman founder/CEO)","seed","Built Superhuman (premium prosumer benchmark); fund writes early checks into products people love","Supabase (confirmed on site) / Mercury / Descript","https://www.toddandrahulcapital.com/","toddandrahulcapital.com (no public pitch form found)","à vérifier","San Francisco, USA","0.92"
"036","Sarah Guo / Conviction","VC","Conviction","seed","AI-native 'Software 3.0' fund; backs voice and creator-facing AI products","HeyGen (AI avatar/voice creator tool)","https://www.conviction.com/","Warm intro (team public on X; no public submission form found)","à vérifier","San Francisco, CA, USA","0.92"
"037","Soleio","angel","ex-Facebook/Dropbox design lead / personal angel (Combine)","seed","Angel concentrated in next-gen creative + AI-forward prosumer software; backed Cursor, Granola, Framer","Granola / Cursor / Figma / Framer (all confirmed)","https://www.figma.com/blog/meet-the-design-pioneers-taking-on-the-venture-world/","warm intro (design/Figma network / X @soleio)","à vérifier","San Francisco, USA","0.92"
"038","Todd & Rahul's Angel Fund","angel","Todd & Rahul's Angel Fund (Todd Goldberg & Rahul Vohra)","pre-seed / seed","Explicitly targets productivity, viral SaaS and creator/maker tools; Rahul built Superhuman — perfect Verba fit","Superhuman (Rahul Vohra), Supabase, Mercury","https://www.toddandrahulangelfund.com/","https://www.toddandrahulangelfund.com/ (public pitch intake)","verified","San Francisco, USA","0.92"
"039","Andreas Klinger","micro-VC","Remote First Capital (now rebranded Prototype Capital)","pre-seed","Dev-tools + future-of-work prosumer solo-GP; backs tools knowledge workers adopt bottom-up","Luma AI / Upstash / Grain (all confirmed)","https://www.vcsheet.com/who/andreas-klinger","klinger.io (warm intro)","à vérifier","San Francisco, USA","0.9"
"040","Atomico","VC","Atomico","early","A mené le Series B de 30M$ de Raycast — backe la productivité prosumer Mac-first qui passe à l'échelle","Raycast (lead Series B)","https://techcrunch.com/2024/09/25/raycast-raises-30m-to-bring-its-mac-productivity-app-to-windows-and-ios/","warm intro (atomico.com)","à vérifier","London, UK","0.9"
"041","Coatue","VC","Coatue Management","early","A co-mené le Series A de Raycast — conviction sur les outils de productivité Mac-first pour power-users","Raycast (co-lead Series A)","https://www.raycast.com/blog/series-a","warm intro","à vérifier","New York, USA","0.9"
"042","boldstart ventures","VC","boldstart ventures","pre-seed / seed","Coined 'Inception' investing — backs technical/dev-first founders before code; Superhuman is a confirmed exit, matching Verba's confirm-gated voice-agent productivity lane","Superhuman (prosumer productivity)","https://boldstart.vc/","warm intro (Ed Sim, founder)","à vérifier","New York, NY","0.9"
"043","BoxGroup","VC","BoxGroup","seed","Led Willow Voice's seed — Mac-first AI dictation for professionals, a direct Verba analog","Willow Voice (led $4.2M seed)","https://traded.co/vc/deal/willow-raises-4-2-million-from-boxgroup-and-other-investors-for-voice-first-interfaces/","warm intro","à vérifier","New York, NY","0.9"
"044","Charles Hudson","VC","Precursor Ventures","pre-seed","People-first pre-seed generalist that writes the first institutional check into prosumer software founders — Verba's exact stage and category.","Superhuman (Mac-first prosumer productivity app)","https://www.precursorvc.com/","https://precursorvc.com/startup/","verified","San Francisco, CA","0.9"
"045","Charles Hudson / Precursor Ventures","VC","Precursor Ventures","pre-seed","Quintessential pre-seed first-check fund; backed an AI device/consumer productivity company","Limitless (AI assistant device, acquired by Meta 2025) / Superhuman","https://precursorvc.com/startup/","https://precursorvc.com/startup/ (public submission form) / charles@precursorvc.com","verified","San Francisco, CA, USA","0.9"
"046","Cherry Ventures","VC","Cherry Ventures","seed","Pre-seed/seed backer of Superlist — invests early in prosumer productivity across consumer and enterprise apps","Superlist","https://www.eu-startups.com/2022/04/berlin-based-superlist-scores-e10-million-to-build-its-productivity-tool-of-the-future/","warm intro","à vérifier","Berlin, Germany","0.9"
"047","Conviction","VC","Conviction","pre-seed / seed","AI-native 'Software 3.0' fund (Sarah Guo) for products built on foundation models; Harvey confirmed in portfolio — Verba is a confirm-gated Claude voice agent","Harvey (applied AI product)","https://www.conviction.com/","https://www.conviction.com/embed (Embed program application)","verified","San Francisco, CA","0.9"
"048","First Round Capital","VC","First Round Capital","seed","Seed lead for Superhuman ($1.6M check), the canonical premium prosumer Mac-first productivity app — Verba's design-led lane","Superhuman (priced seed)","https://www.acquired.fm/episodes/masterclass-superhumans-fundraising-playbook-with-ceo-rahul-vohra","https://firstround.com/ (pitch intake)","à vérifier","San Francisco, USA","0.9"
"049","Hans Tung / Notable Capital","VC","Notable Capital (formerly GGV Capital U.S.)","early","Leads an 'AI-driven Prosumer' practice; directly backed the voice-dictation incumbent Verba competes with","Wispr Flow (AI voice dictation) / Otter.ai (voice AI)","https://techcrunch.com/2025/11/20/as-its-voice-dectation-app-takes-off-wispr-secures-25m-from-notable-capital/","Warm intro / via notablecap.com (no public form)","à vérifier","Menlo Park / San Francisco, CA, USA","0.9"
"050","Heavybit","VC","Heavybit","pre-seed / seed","Decade-long developer-first / enterprise-infra specialist running a tailored accelerator; Netlify is a confirmed portfolio company — accepts direct technical-founder applications","Netlify (developer platform)","https://www.heavybit.com/portfolio/spotlights/netlify","https://heavybit.com/accelerator (direct application)","verified","San Francisco, CA","0.9"
"051","Initialized Capital","VC","Initialized Capital","seed","Led Cron's (Notion Calendar) seed as first-check seed-of-record — a Mac-first prosumer calendar acquired by Notion","Cron (Notion Calendar)","https://theygotacquired.com/saas/cron-acquired-by-notion/","warm intro","à vérifier","San Francisco, CA","0.9"
"052","Jeff Morris Jr.","VC","Chapter One","seed","Backs product-driven, consumer + creator-tool founders at seed; an AI-creator/voice app like Verba is squarely in lane.","Captions (AI creator / video productivity tool)","https://www.chapterone.com/team/jeff-morris-jr","warm intro","à vérifier","Los Angeles, CA","0.9"
"053","Karri Saarinen","angel","Linear (co-founder/CEO) / personal angel","seed","Built the craft-led prosumer tool category; angel in AI productivity apps with the same taste bar Verba targets","Granola (confirmed) / Foxglove (confirmed)","https://www.premieralts.com/investors/karri-saarinen","warm intro (Linear network / X @karrisaarinen)","à vérifier","San Francisco, USA","0.9"
"054","Menlo Ventures","VC","Menlo Ventures (incl. Anthology Fund w/ Anthropic)","seed","Led the AI voice-dictation round; Anthology Fund seeds Claude/Anthropic-built apps — Verba is bring-your-own-Claude","Wispr Flow (AI voice dictation)","https://menlovc.com/menlo-anthology-fund/","https://menlovc.com/menlo-anthology-fund/ (Anthology Fund application)","verified","Menlo Park, CA, USA","0.9"
"055","World Innovation Lab (WiL)","VC","World Innovation Lab","early","A participé au tour de croissance de Raycast — productivité prosumer et outils développeurs","Raycast (participant Series B)","https://techcrunch.com/2024/09/25/raycast-raises-30m-to-bring-its-mac-productivity-app-to-windows-and-ios/","warm intro (wilab.com)","à vérifier","Palo Alto / Tokyo","0.88"
"056","Neo (Ali Partovi)","accelerator","Neo","pre-seed / seed","Founder-first accelerator ($750K uncapped SAFE, deferred-equity terms); participated in Wispr funding; technical AI-builder thesis","Wispr Flow (investor); also Cursor","https://neo.com/","https://neo.com/ (Neo Residency / Scholars application)","verified","San Francisco, USA","0.9"
"057","New Enterprise Associates (NEA)","VC","NEA","seed","Co-led Wispr's earliest $4.6M seed for a voice-first neural interface — early conviction in voice computing like Verba","Wispr Flow","https://www.prnewswire.com/news-releases/wispr-ai-secures-4-6m-from-nea-and-8vc-to-build-thought-powered-neural-interface-301433912.html","warm intro","à vérifier","Menlo Park, CA","0.9"
"058","Pebblebed","micro-VC","Pebblebed","seed","Ex-OpenAI/Facebook engineers backing technical founders building AI tools for professional creators","KREA (AI-first tools for professional creators)","https://pebblebed.com/portfolio","Warm intro / via pebblebed.com (no public form found)","à vérifier","San Francisco, CA, USA","0.9"
"059","Pieter Levels","angel","levels.vc / personal angel","pre-seed","Indie-hacker/AI-tools angel; backs solo-built AI prosumer products in Verba's bootstrapped-then-funded mold","Cursor / Perplexity / fal (all confirmed on levels.io/vc)","https://levels.io/vc","email (instructed on levels.io/vc: 'find my email on pieter.com')","verified","Lisbon / remote","0.9"
"060","Sahil Lavingia","angel","Gumroad / shl.vc (rolling fund)","pre-seed / seed","Indie-hacker-friendly angel focused on creator/prosumer + developer-tool software and solo founders","Figma (also Notion, Vercel — prosumer/creator/dev tools)","https://techcrunch.com/2020/08/05/gumroad-founder-sahil-lavingia-launches-new-seed-fund-in-collaboration-with-angellist/","warm intro / public via X @shl (shl.vc AngelList rolling fund)","à vérifier","San Francisco, USA","0.9"
"061","Sarah Guo","VC","Conviction","seed","AI-native ('Software 3.0') seed fund; an agentic, BYO-frontier-model voice app is core to the AI-application thesis.","HeyGen (AI creator / generative media app)","https://www.conviction.com/","warm intro","à vérifier","San Francisco, CA","0.9"
"062","Seedcamp","VC","Seedcamp","pre-seed / seed","AI-native productivity at first-check stage — exact lane for an agentic Mac voice tool","Dust (agentic AI workflow platform; also Synthesia, Flowrite)","https://seedcamp.com/fund-vii/","Warm intro / apply via seedcamp.com (first checks up to $1.3M)","à vérifier","London, UK","0.9"
"063","South Park Commons","accelerator","South Park Commons","pre-seed / seed","Founder Fellowship for technical builders at -1 to 0, $1M terms ($400K/7% + $600K), sector-agnostic AI-native; Luma AI confirmed — strong fit for a technical Mac-first voice-agent team","Luma AI (AI multimodal/creator tool)","https://www.southparkcommons.com/founder-fellowship/","https://www.southparkcommons.com/apply/","verified","San Francisco, CA / New York, NY","0.9"
"064","Thomas Paul Mann","angel","Raycast (co-founder/CEO) / personal angel","pre-seed","Built the canonical Mac-first prosumer launcher — closest operator to Verba's exact category","Polar (confirmed angel) / Arcjet","https://tracxn.com/d/people/thomas-paul-mann/__m25jGZxKZg788QKkC24rasQN_ZC52ASf04-zRL1Dkoo","warm intro (raycast.com/thomas)","à vérifier","London, UK","0.9"
"065","Todd Goldberg","micro-VC","Todd & Rahul's Angel Fund (now Todd & Rahul Capital)","seed","Co-runs a prosumer/consumer-product angel fund writing $300-500k early checks into bottom-up software","Supabase / Mercury (confirmed) — Clubhouse historic","https://techcrunch.com/2021/06/09/todd-and-rahuls-angel-fund-closes-new-24-million-fund/","toddandrahulcapital.com (no public pitch form found)","à vérifier","San Francisco, USA","0.9"
"066","Village Global","VC","Village Global","pre-seed","Network-driven pre-seed fund (Velocity program) with AI productivity & voice-adjacent portfolio; offers OpenAI/Anthropic perks fitting a BYO-Claude app.","Natter (AI voice/call productivity automation)","https://www.villageglobal.com/velocity","https://www.villageglobal.com/velocity (Velocity application form)","verified","San Francisco, CA","0.9"
"067","Uncork Capital","VC","Uncork Capital","seed","Seed-stage B2B/dev-tools/infra specialist; led Tailscale's seed (2020) — leads seed for technical prosumer/dev products like Verba","Tailscale (developer infrastructure)","https://medium.com/uncorkcapital/it-just-works-welcoming-tailscale-to-the-uncork-portfolio-fe67b88447c0","warm intro","à vérifier","Palo Alto, CA","0.89"
"068","8VC","VC","8VC","seed","Co-led Wispr's $4.6M seed to make speech a primary interface — directly Verba's voice-agent thesis","Wispr Flow","https://www.prnewswire.com/news-releases/wispr-ai-secures-4-6m-from-nea-and-8vc-to-build-thought-powered-neural-interface-301433912.html","warm intro","à vérifier","Austin, TX / San Francisco","0.88"
"069","Amplify Partners","VC","Amplify Partners","seed","First investor for deeply technical founders (AI-native + dev tools); Runway is a confirmed early backing — fits Verba's Mac-first BYO-Claude technical product","Runway (AI creative/prosumer)","https://www.amplifypartners.com/portfolio/company","warm intro","à vérifier","Menlo Park / San Francisco, CA","0.88"
"070","Draper Associates","VC","Draper Associates (Tim Draper)","seed","Led Otter.ai's $3M seed (2016) — consumer/prosumer voice transcription, the productivity-voice lane Verba extends","Otter.ai","https://sacra.com/c/otter/","https://www.draper.vc","à vérifier","San Mateo, CA","0.88"
"071","Masha Bucher / Day One Ventures","VC","Day One Ventures","pre-seed","Pre-seed/seed consumer + AI fund with built-in PR/storytelling — ideal for a launch-driven prosumer app","Superhuman (prosumer productivity app)","https://techcrunch.com/2025/12/04/why-day-one-ventures-masha-bucher-thinks-vcs-and-storytelling-go-hand-in-hand/","dayoneventures.com submission ('Have an idea?') — form existence not independently confirmed","à vérifier","San Francisco, CA, USA","0.88"
"072","Root Ventures","micro-VC","Root Ventures","seed","All-engineer seed fund underwriting 'engineering risk' in dev tools; backed Zed — a Mac-first GPU-accelerated native editor in Rust, exactly Verba's profile","Zed (Mac-first native code editor)","https://techcrunch.com/2023/03/15/zed-code-editor-raises-10m/","warm intro","à vérifier","San Francisco, CA","0.88"
"073","Ryan Hoover","micro-VC","Weekend Fund","pre-seed","Product-native pre-seed fund (Product Hunt founder) explicitly investing in consumer + AI-native productivity apps — Verba is a Product Hunt-shaped launch.","Adaptive Computer (AI-native consumer computing)","https://www.weekend.fund/","team@weekend.fund","verified","San Francisco, CA (distributed)","0.88"
"074","SV Angel","VC","SV Angel","seed","Seed-stage generalist with AI/voice bets; in Cartesia's seed — speech-AI apps/infra","Cartesia (participated, $27M seed)","https://cartesia.ai/blog/seed","warm intro","à vérifier","San Francisco, CA","0.88"
"075","Max Mullen","angel","Instacart (co-fondateur) / business angel","seed","Co-fondateur d'Instacart ; angel sur Willow Voice — conviction sur la dictée vocale prosumer","Willow Voice (seed 4,2M$)","https://traded.co/vc/deal/willow-raises-4-2-million-from-boxgroup-and-other-investors-for-voice-first-interfaces/","warm intro","à vérifier","San Francisco, USA","0.88"
"076","Decibel Partners","VC","Decibel Partners","pre-seed / seed","Invests exclusively in technical-founder infrastructure software for developers/data/security teams; LaunchDarkly confirmed in portfolio — Verba's on-device BYO-Claude architecture fits","LaunchDarkly (developer infrastructure)","https://www.decibel.vc/","warm intro (Jon Sakoda)","à vérifier","San Francisco, CA","0.86"
"077","Cyan Banister & Lee Jacobs / Long Journey Ventures","micro-VC","Long Journey Ventures","pre-seed","Early 'second believer' fund for magically-weird consumer + creator + AI bets; welcomes direct pitches","Numeric (AI productivity software) / Mad Realities (creator)","https://www.longjourney.vc/team","hi@longjourney.vc","verified","San Francisco, CA, USA","0.85"
"078","Daniel Gross","angel","Pioneer / personal angel (ex-Apple AI)","pre-seed","AssemblyAI's first investor and ElevenLabs co-lead; ex-Apple, Mac-first AI-productivity instincts","AssemblyAI (first investor)","https://www.assemblyai.com/blog/series-a-announcement","warm intro (or via AI Grant, aigrant.com)","à vérifier","San Francisco, CA","0.85"
"079","Dharmesh Shah","angel","HubSpot (founder/CTO), personal angel","seed","Prolific AI-productivity angel; backed Willow Voice — prosumer dictation/productivity","Willow Voice (angel)","https://www.menlotimes.com/post/ai-powered-voice-dictation-platform-willow-raised-4-2-million-to-build-voice-first-interfaces","warm intro","à vérifier","Boston, MA","0.85"
"080","Essence VC","micro-VC","Essence VC","pre-seed / seed","Solo-GP Tim Chen writes earliest checks ($10K-$1M) for deeply technical infra/AI/OSS founders 'before they exist' — fits Verba's dev-first technical architecture","Infrastructure/LLM tooling portfolio (Tabular → Databricks $2.2B)","https://techcrunch.com/2025/09/23/tim-chen-has-quietly-become-of-one-the-most-sought-after-solo-investors/","warm intro (Tim Chen)","à vérifier","San Francisco, CA","0.85"
"081","Index Ventures","VC","Index Ventures","early","Index participated in Linear's seed and led Granola's round (Danny Rimer) on a prosumer-app thesis that maps to AI productivity","Granola","https://www.indexventures.com/perspectives/granola-investing-in-what-makes-us-human/","warm intro","à vérifier","London / San Francisco","0.85"
"082","Jeff Morris Jr. / Chapter One","VC","Chapter One","pre-seed","Pre-seed/seed consumer + AI fund; backed a Mac-first productivity launcher","Raycast (Mac-first productivity app)","https://techcrunch.com/2021/11/30/developer-productivity-tools-startup-raycast-raises-15m-from-accel-and-coatue/","Warm intro / via chapterone.com (no public form)","à vérifier","Los Angeles, CA, USA","0.85"
"083","Lightspeed Venture Partners","VC","Lightspeed Venture Partners","seed","Led Granola's seed — the AI prosumer notepad that sits on your Mac, directly adjacent to Verba's on-device AI productivity","Granola","https://techcrunch.com/2024/10/23/vcs-love-using-the-ai-meeting-notepad-granola-so-they-gave-it-20m/","warm intro","à vérifier","Menlo Park, CA","0.85"
"084","Liquid 2 Ventures","VC","Liquid 2 Ventures","seed","First-check pre-seed/seed fund; participated in Willow Voice's AI-dictation seed","Willow Voice (participated, $4.2M seed)","https://traded.co/vc/deal/willow-raises-4-2-million-from-boxgroup-and-other-investors-for-voice-first-interfaces/","info@liquid2.vc (cold pitch accepted; see liquid2.vc/faq for subject-line/format rules)","verified","San Francisco, CA","0.85"
"085","Long Journey Ventures","micro-VC","Long Journey Ventures","seed","Thesis is backing 'magically weird' consumer & creator-economy founders before consensus — a confirm-gated voice agent across 1,000 apps is exactly that bet.","Mad Realities (creator-economy consumer product)","https://www.longjourney.vc/","warm intro","à vérifier","San Francisco, CA","0.85"
